name,amenity,healthcare,speciality,addr:full,addr:city,latitude,longitude,capacity
Nazirin Skin Clinic,other,doctor,dermatology,Unknown,Kuala Lumpur,3.1193737,101.6771025,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Iskandar Puteri,1.438619,103.620268,0.0
MNY,pharmacy,,general,Unknown,Unknown,6.2371365,100.4192653,0.0
Poliklinik Simpang,clinic,,general,Unknown,Unknown,4.8251768,100.7034637,0.0
Klinik Reddy,clinic,clinic,general,Unknown,Puchong,3.0638081,101.6481369,0.0
Klinik Pergigian Lim,other,dentist,general,Unknown,Puchong,3.063453,101.6478103,0.0
Klinik Selva,clinic,clinic,general,Unknown,Puchong,3.0638902,101.6482914,0.0
Family Clinic,clinic,clinic,general,Unknown,Unknown,2.0484926,102.5859405,0.0
Berkat Farmasi,pharmacy,,general,Unknown,Unknown,3.4548117,102.4500247,0.0
Klinik C.H. Ang,clinic,clinic,general,Unknown,Unknown,5.4354688,100.3894179,0.0
Green River Farmasi,pharmacy,pharmacy,general,Unknown,Unknown,5.4042183,100.3084704,0.0
Klinik Ringlet & Surgeri,clinic,clinic,general,Unknown,Cameron Highlands,4.4141085,101.3822474,0.0
Klinik Pakar Pakar Sandakan,clinic,clinic,general,Unknown,Unknown,5.8549737,118.0727975,0.0
KelinikTM Thian,other,doctor,general;cardiology,Unknown,Unknown,5.8547215,118.0736325,0.0
Klinik Indah,other,doctor,general;paediatrics,Unknown,Unknown,5.8538049,118.0736799,0.0
Farmasi Dispensary Borneo Indah,pharmacy,pharmacy,general,Unknown,Unknown,5.8535669,118.0732725,0.0
Klinik Teh,other,doctor,general,Unknown,Unknown,5.8527559,118.0724706,0.0
Circle Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.854389,118.0728842,0.0
Grace Dental Surgery,other,dentist,dentist,Unknown,Unknown,5.8553502,118.0714595,0.0
Klinik Rajadurai,other,doctor,general;radiology,Unknown,Unknown,5.8546578,118.0750034,0.0
Permai Polyclinic,other,doctor,general,Unknown,Unknown,5.8548604,118.0743851,0.0
Guardian Bandar Indah,pharmacy,pharmacy,general,Unknown,Unknown,5.8551009,118.0735638,0.0
Klinik Pergigian Dr Chong,other,doctor,dentist,Unknown,Unknown,5.8552176,118.0731291,0.0
Tan Specialist Clinic for Women,other,doctor,gynaecology,Unknown,Unknown,5.8553982,118.0775322,0.0
Lau Kee Oon Specialist Clinic,other,doctor,surgery,Unknown,Unknown,5.8556763,118.0779688,0.0
World Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.8559887,118.0785077,0.0
Farmasi Walgreene,pharmacy,pharmacy,general,Unknown,Unknown,5.856155,118.0776158,0.0
Klinik Dr Bazilah,clinic,clinic,dermatology;general,Unknown,Unknown,3.0785403,101.5472311,0.0
Klinik Dr Agnes Lim,other,doctor,general,Unknown,Unknown,5.8580864,118.0738371,0.0
Klinik Medipulse Kepong,clinic,clinic,general,Unknown,Unknown,3.2180881,101.6441046,0.0
United Health Clinic,clinic,clinic,general,Unknown,Unknown,3.2205957,101.6412441,0.0
Klinik Kesihatan Bukit Serampang,clinic,clinic,general,Unknown,Unknown,2.3625188,102.7844333,0.0
Klinik Mediviron,clinic,clinic,general,Unknown,Puchong,3.04924,101.6469666,0.0
Berkat Physiotherapy,other,physiotherapist,physiotherapy,Unknown,Unknown,5.8529526,118.0760983,0.0
Makmal Pathlab,other,laboratory,general,Unknown,Unknown,5.854784,118.0726566,0.0
Big Pharmacy,pharmacy,pharmacy,general,Unknown,Seberang Jaya,5.3970052,100.3999108,0.0
Pusat Pakar Perubatan Anwar,clinic,clinic,general,Unknown,Unknown,5.396366,100.3998276,0.0
ALPRO Pharmacy Sunway Perdana,pharmacy,pharmacy,general,Unknown,Seberang Jaya,5.3970928,100.3999272,0.0
Hospital Kota Kinabatangan,hospital,,general,Unknown,Unknown,5.5846641,117.8506346,0.0
Farmasi Pahang,pharmacy,pharmacy,general,Unknown,Unknown,4.1888433,102.0528882,0.0
Klinik Edina,other,doctor,general,Unknown,Cameron Highlands,4.4146507,101.3847676,0.0
Klinik Tampin,clinic,clinic,general,Unknown,Unknown,2.4628037,102.2304706,0.0
Farmasi Alpro,pharmacy,pharmacy,general,Unknown,Unknown,2.7268865,101.9381489,0.0
Klinik Koay,clinic,clinic,general,Unknown,Unknown,5.4320421,100.3116101,0.0
Klinik Desa Parit Haji Wahab,clinic,clinic,general,Unknown,Unknown,5.0880915,100.4267831,0.0
Klinik Kee,clinic,clinic,general,Unknown,Unknown,1.8525195,102.9293531,0.0
Klinik Famili Soo,clinic,clinic,general,Unknown,Kuala Lumpur,3.090961,101.6872093,0.0
Tey Specialist Maternity & Gynae,other,doctor,general,Unknown,Unknown,2.044384,102.5658651,0.0
Klinik Pakar Ortodontik Muar,clinic,clinic,orthodontics,Unknown,Unknown,2.0447204,102.5640848,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,3.0224633,101.6164338,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Miri,4.4498498,114.0378173,0.0
ROPHEKA(M) SDN. BHD. Myhighst,other,psychotherapist,general,Unknown,Seremban,2.7159011,101.9202718,0.0
Kompleks Dewan Bedah (IUN),hospital,hospital,general,Unknown,Kuala Lumpur,3.1729603,101.6998563,0.0
Komples Rawatan & Rawatan Harian (SCACC),hospital,hospital,general,Unknown,Unknown,3.17061,101.6991407,0.0
Northern Care Clinic,clinic,clinic,general,Unknown,Unknown,5.3977234,100.3281207,0.0
Klinik Sri Pinang dan Surgeri,clinic,clinic,general,Unknown,Unknown,5.3986364,100.3288378,0.0
Klinik Desa Kampung Labu,clinic,clinic,general,Unknown,Unknown,4.1675855,102.3718345,0.0
Farmasi Health Point,pharmacy,pharmacy,general,Unknown,Kuala Lumpur,3.1302379,101.6835519,0.0
Benta Health Clinic,clinic,clinic,general,Unknown,Unknown,4.0132713,101.960455,0.0
Pusat Perubatan Tradisional Cina Nature Concept TCM Healthcare,other,,general,Unknown,Unknown,1.518417,103.6803399,0.0
Klinik Desa Kuala Mai,clinic,clinic,general,Unknown,Unknown,3.7684264,102.3661737,0.0
Poliklinik Maya 24 Jam,clinic,clinic,general,Unknown,Unknown,6.1507306,102.2694193,0.0
Bangsar Dental Specialist Center,other,dentist,general,Unknown,Unknown,3.1310416,101.6709807,0.0
ProCare (Bangsar) Dental Surgery,other,dentist,general,Unknown,Unknown,3.1324295,101.6710502,0.0
Klinik Desa Jorak,hospital,,general,Unknown,Unknown,2.129118,102.6455409,0.0
Jaspal Clinic,clinic,clinic,general,Unknown,Unknown,3.0285805,101.4282599,0.0
Poliklinik Bangsar,other,doctor,general,Unknown,Unknown,3.1318075,101.6705669,0.0
Urban Smile Dental Clinic,other,dentist,general,Unknown,Unknown,3.1316897,101.6705641,0.0
Betterlife Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.4317425,100.3114528,0.0
Wellings Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.4327057,100.3101844,0.0
Wellcome Pharmacy,pharmacy,pharmacy,general,Unknown,Petaling Jaya,3.0989029,101.6456923,0.0
Chan May May Optometrist,other,optometrist,general,Unknown,Unknown,5.4323121,100.3112072,0.0
Farmasi Ich Liebe Dich,pharmacy,,general,Unknown,Kajang,2.8969773,101.7047916,0.0
Klinik Pergigian Life Dental,other,dentist,general,Unknown,Unknown,1.5022014,110.3481989,0.0
Tan Specialist Child & Family Clinic,clinic,clinic,general,Unknown,Unknown,1.5012646,110.348202,0.0
Luke Klinik,clinic,clinic,general,Unknown,Unknown,5.4323793,100.311076,0.0
Goh Dental,other,dentist,implantology;orthodontics,Unknown,Unknown,5.4320592,100.3105922,0.0
BIG Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.4317691,100.3111167,0.0
Kien San Trading,pharmacy,pharmacy,general,Unknown,Benta,4.0170087,101.9656168,0.0
Wee Care Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.4951766,110.302293,0.0
Prestige Orthodontic (Braces) Clinic,other,dentist,orthodontics,Unknown,Unknown,5.4301386,100.3127054,0.0
Penang Dental Surgery,other,dentist,general,Unknown,Unknown,5.4300103,100.3128541,0.0
