X,Y,name,healthcare,healthcare:speciality,addr:full,addr:city,osm_id
101.7423423,3.0777114,Majestic Maxim Clinic,clinic,,"Lot S-G-25 Block D, Majestic Maxim Residence, 45, Jalan 9, Taman Bukit Cheras, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",Cheras,11549314648
101.6771025,3.1193737,Nazirin Skin Clinic,doctor,dermatology,"59-1, The Boulevard Office Mid Valley City, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,6195318772
103.620268,1.438619,Guardian,pharmacy,,"B0125,Blok B, Eko Galleria, 3, Persiaran Eko Botani, Taman Eko Botani, 79100 Iskandar Puteri, Johor, Malaysia",Iskandar Puteri,9849115511
101.7373528,3.081415,AA Pharmacy,pharmacy,,"64, Jalan Cerdas, Taman Connaught, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,7377403285
101.6945336,2.8213255,Big Pharmacy,pharmacy,,"No. G-70, Ground Floor, Jalan Warisan Sentral 2, Kota Warisan, 43900 Sepang, Selangor, Malaysia",Sepang,10938676307
101.6481369,3.0638081,Klinik Reddy,clinic,,"28B, Jalan TK 1/11a, Taman Kinrara, 47100 Puchong, Selangor, Malaysia",Puchong,4733564785
101.6478103,3.063453,Klinik Pergigian Lim,dentist,,"No. 36B, Jalan TK 1/11a, Taman Kinrara, 47180 Puchong, Selangor, Malaysia",Puchong,4733564790
101.6482914,3.0638902,Klinik Selva,clinic,,"Jalan Kenari 1, Bandar Puchong Jaya, 47170 Puchong, Selangor, Malaysia",Puchong,1866862784
100.384037,5.430387,Klinik Pergigian Eow,dentist,,"7373, Jalan Raja Uda, Taman Sin Tat, 12300 Butterworth, Pulau Pinang, Malaysia",Butterworth,6183208976
110.3671714,1.5172156,Pronature Pharmacy,pharmacy,,"1551, Jln Urat Mata, Tabuan Heights, 93350 Kuching, Sarawak, Malaysia",Kuching,7977209586
103.7629057,1.5447699,Guardian,pharmacy,,"NO 36 GROUND FLOOR, Jalan Sagu 8, Taman Daya, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",Johor Bahru,9878204960
