X,Y,name,name:en,amenity,building,healthcare,healthcare:speciality,operator:type,capacity:persons,addr:full,addr:city,source,name:ms,osm_id,osm_type
101.6771025,3.1193737,Nazirin Skin Clinic,,doctors,,doctor,dermatology,,,,Kuala Lumpur,,,"6195318772",nodes
103.620268,1.438619,Guardian,,pharmacy,,pharmacy,,,,,Iskandar Puteri,,,"9849115511",nodes
100.4192653,6.2371365,MNY,,pharmacy,,,,,,,,,,"3934368866",nodes
100.7034637,4.8251768,Poliklinik Simpang,,clinic,,,,,,,,,,"9846405684",nodes
101.6481369,3.0638081,Klinik Reddy,,clinic,,clinic,,,,,Puchong,,,"4733564785",nodes
101.6478103,3.063453,Klinik Pergigian Lim,Lim Dental Surgery,dentist,,dentist,,,,,Puchong,,,"4733564790",nodes
101.6482914,3.0638902,Klinik Selva,,clinic,,clinic,,,,,Puchong,,,"1866862784",nodes
102.5859405,2.0484926,Family Clinic,,clinic,,clinic,,,,,,,,"12535716338",nodes
102.4500247,3.4548117,Berkat Farmasi,,pharmacy,,,,,,,,,,"7620234832",nodes
100.3894179,5.4354688,Klinik C.H. Ang,,clinic,,clinic,,,,,,,Klinik C.H. Ang,"6186119333",nodes
101.4762402,3.2070749,,,clinic,,clinic,,,,,,,,"11182505055",nodes
100.3084704,5.4042183,Green River Farmasi,Green River Pharmacy,pharmacy,,pharmacy,,,,,,,,"9848448666",nodes
101.3822474,4.4141085,Klinik Ringlet & Surgeri,,clinic,,clinic,,,,,Cameron Highlands,,Klinik Ringlet & Surgeri,"4674753753",nodes
118.0727975,5.8549737,Klinik Pakar Pakar Sandakan,,clinic,,clinic,,,,,,,,"6176370993",nodes
118.0736325,5.8547215,KelinikTM Thian,,doctors,,doctor,"general;cardiology",,,,,,,"6176370996",nodes
118.0736799,5.8538049,Klinik Indah,,doctors,,doctor,"general;paediatrics",,,,,,,"6176371012",nodes
118.0732725,5.8535669,Farmasi Dispensary Borneo Indah,,pharmacy,,pharmacy,,,,,,,,"6176371013",nodes
118.0724706,5.8527559,Klinik Teh,,doctors,,doctor,general,,,,,,,"6176371025",nodes
118.0728842,5.854389,Circle Pharmacy,,pharmacy,,pharmacy,,,,,,,,"6176371031",nodes
118.0714595,5.8553502,Grace Dental Surgery,,dentist,,dentist,dentist,,,,,,,"6176370969",nodes
118.0750034,5.8546578,Klinik Rajadurai,,doctors,,doctor,"general;radiology",,,,,,,"6176370976",nodes
118.0743851,5.8548604,Permai Polyclinic,,doctors,,doctor,general,,,,,,,"6176370980",nodes
